date,nav
2022-07-20,23710732.446458273
2022-07-21,24302218.20922225
2022-07-22,24523701.649438314
2022-07-25,24204212.887711935
2022-07-26,23988836.048135214
2022-07-27,23757280.0783171
2022-07-28,23845975.438859396
2022-07-29,24167320.07300704
2022-08-01,24384819.798654012
2022-08-02,24635899.310606964
2022-08-03,24956996.98367215
2022-08-04,25112870.00105954
2022-08-05,25131969.749503143
2022-08-08,25079446.704337128
2022-08-10,25247878.801383026
2022-08-11,25406907.81747342
2022-08-12,25590275.8122778
2022-08-16,26186901.717345245
2022-08-17,26516884.724287994
2022-08-18,26746878.309203155
2022-08-19,26555027.287062652
2022-08-22,26409836.707282074
2022-08-23,26278915.242781647
2022-08-24,26027811.42055417
2022-08-25,25993908.44195462
2022-08-26,25978324.51287747
2022-08-29,26190146.957526214
2022-08-30,27229100.210326202
2022-09-01,26951416.795493133
2022-09-02,26652693.280659348
2022-09-05,26885921.76588884
2022-09-06,27080817.14229265
2022-09-07,27074336.728275925
2022-09-08,27235775.691883713
2022-09-09,27297531.389088303
2022-09-12,27363298.883778244
2022-09-13,27352625.600147873
2022-09-14,27498601.00137773
2022-09-15,27949085.539677292
2022-09-16,27492142.381764084
2022-09-19,27661630.479374558
2022-09-20,28463921.062931687
2022-09-21,28426305.101170212
2022-09-22,28393765.08205095
2022-09-23,27659492.01901689
2022-09-26,26788788.432430893
2022-09-27,27097311.18309465
2022-09-28,26733597.13104692
2022-09-29,26966640.406284958
2022-09-30,27298499.560719162
2022-10-03,26796429.742619187
2022-10-04,27144196.905501463
2022-10-06,27886771.58193884
2022-10-07,28021421.038786985
2022-10-10,27660261.746337034
2022-10-11,27339793.759062864
2022-10-12,27570460.495589353
2022-10-13,27305919.316344358
2022-10-14,26889247.749343015
2022-10-17,27102763.84011755
2022-10-18,27898058.239653684
2022-10-19,27784089.298995115
2022-10-20,28079354.73579321
2022-10-21,27805214.050124265
2022-10-24,27948315.28581152
2022-10-25,27781534.63447485
2022-10-27,27826773.434325315
2022-10-28,27804127.88929663
2022-10-31,28175076.456755735
2022-11-01,28645143.69975195
2022-11-02,28350539.010639686
2022-11-03,28259467.05958988
2022-11-04,28794205.634129066
2022-11-07,29198967.82525303
2022-11-09,29677973.50985386
2022-11-10,29365297.197796363
2022-11-11,29340164.270329017
2022-11-14,29250967.42667057
2022-11-15,29224428.876324195
2022-11-16,28889559.753506202
2022-11-17,28629830.716335792
2022-11-18,28382577.5143552
2022-11-21,28419904.91910221
2022-11-22,28468685.702969093
2022-11-23,28322845.561153907
2022-11-24,28238033.104008216
2022-11-25,28110773.884892005
2022-11-28,27996872.379841346
2022-11-29,27884793.830242652
2022-11-30,28456887.88737156
2022-12-01,28395606.980938453
2022-12-02,28169004.33297262
2022-12-05,28093778.71753988
2022-12-06,28216134.654131982
2022-12-07,28202676.88828573
2022-12-08,28442570.973567102
2022-12-09,28229734.358111475
2022-12-12,28108442.266635034
2022-12-13,28689143.18439016
2022-12-14,28658000.159064386
2022-12-15,28352836.53440008
2022-12-16,28049912.217387293
2022-12-19,28188949.85560522
2022-12-20,28096707.282366846
2022-12-21,26929592.27902517
2022-12-22,26060531.766440485
2022-12-23,24934665.053359125
2022-12-26,26084530.210517023
2022-12-27,26342663.999579523
2022-12-28,26819356.258231256
2022-12-29,26819728.49815664
2022-12-30,26713535.346694086
2023-01-02,26796921.3225852
2023-01-03,26653073.17107256
2023-01-04,26344919.082403738
2023-01-05,26511370.737661917
2023-01-06,26372785.467367727
2023-01-09,26721114.45773943
2023-01-10,26103850.629965384
2023-01-11,26051612.483908255
2023-01-12,26074263.113318045
2023-01-13,26121124.06032427
2023-01-16,25855051.388891775
2023-01-17,26117848.63619097
2023-01-18,26403351.203146536
2023-01-19,26227640.75627764
2023-01-20,26196274.425146658
2023-01-23,26111632.5649782
2023-01-24,26151253.3832918
2023-01-25,25685205.385901053
2023-01-27,24870551.221426565
2023-01-30,24782287.237036306
2023-01-31,25387898.8704439
2023-02-01,24436662.471335012
2023-02-02,24141055.159951873
2023-02-03,23856753.049855895
2023-02-06,23586090.284398742
2023-02-07,23441737.519513793
2023-02-08,23468295.9083497
2023-02-09,23086212.876496978
2023-02-10,22881142.657792754
2023-02-13,22372619.511354156
2023-02-14,22194577.228826232
2023-02-15,22197927.55932016
2023-02-16,22934290.46605272
2023-02-17,23049301.67560167
2023-02-20,23207696.47672052
2023-02-21,23447807.099199004
2023-02-22,22764877.125650115
2023-02-23,22646639.65269441
2023-02-24,22476206.32888002
2023-02-27,22027310.05960054
2023-02-28,22175236.75250215
2023-03-01,22820116.189674087
2023-03-02,23062330.670828156
2023-03-03,23291055.90616446
2023-03-06,23508991.950559907
2023-03-08,23999935.914251618
2023-03-09,24091613.732229523
2023-03-10,24129552.11797934
2023-03-13,23848399.79894858
2023-03-14,23450918.460768037
2023-03-15,23417010.677542023
2023-03-16,23221070.695417695
2023-03-17,23319701.427763276
2023-03-20,22854223.799337678
2023-03-21,23170347.07108908
2023-03-22,23285862.517134003
2023-03-23,22992836.132665925
2023-03-24,22706881.64987021
2023-03-27,22489952.67189627
2023-03-28,22337338.18504172
2023-03-29,22971173.01112967
2023-03-31,23702920.71324759
2023-04-03,23597450.840353303
2023-04-05,23743893.9221189
