date,ticker,side,shares,price,notional,cost
2026-05-04,AUBANK.NS,SELL,584,1014.0152587890624,592184.9111328124,592.1849111328124
2026-05-04,MCX.NS,SELL,372,2912.89990234375,1083598.763671875,1083.598763671875
2026-05-04,HINDCOPPER.NS,SELL,308,537.4000244140625,165519.20751953125,165.51920751953125
2026-05-04,FORCEMOT.NS,BUY,65,19331.0,1256515.0,1256.515
2026-05-04,GVT&D.NS,BUY,374,4475.5224609375,1673845.400390625,1673.845400390625
2026-05-04,NETWEB.NS,BUY,379,3925.253173828125,1487670.9528808594,1487.6709528808594
2026-05-04,LAURUSLABS.NS,BUY,477,1165.2398681640625,555819.4171142578,555.8194171142578
2026-06-02,HINDCOPPER.NS,SELL,2080,546.2000122070312,1136096.025390625,1136.096025390625
2026-06-02,ABCAPITAL.NS,SELL,1616,351.29998779296875,567700.7802734375,567.7007802734375
2026-06-02,CANBK.NS,SELL,1428,124.95791625976562,178439.9044189453,178.4399044189453
2026-06-02,LTF.NS,SELL,1318,270.70001220703125,356782.6160888672,356.7826160888672
2026-06-02,NETWEB.NS,SELL,379,4779.8203125,1811551.8984375,1811.5518984375
2026-06-02,GVT&D.NS,SELL,374,4769.1953125,1783679.046875,1783.679046875
2026-06-02,FORCEMOT.NS,SELL,96,17833.0,1711968.0,1711.968
2026-06-02,CUMMINSIND.NS,BUY,103,5661.0458984375,583087.7275390625,583.0877275390625
2026-06-02,MCX.NS,BUY,156,2878.699951171875,449077.1923828125,449.0771923828125
2026-06-02,LUPIN.NS,BUY,175,2233.604736328125,390880.8288574219,390.8808288574219
2026-06-02,TORNTPHARM.NS,BUY,181,4317.89990234375,781539.8823242188,781.5398823242188
2026-06-02,LAURUSLABS.NS,BUY,209,1382.5999755859375,288963.39489746094,288.96339489746094
2026-06-02,GLENMARK.NS,BUY,447,2184.60009765625,976516.2436523438,976.5162436523437
2026-06-02,KARURVYSYA.NS,BUY,672,290.78839111328125,195409.798828125,195.409798828125
2026-06-02,NATIONALUM.NS,BUY,838,433.2987060546875,363104.3156738281,363.1043156738281
2026-06-02,ANANDRATHI.NS,BUY,883,1769.6500244140625,1562600.9715576172,1562.6009715576172
2026-06-02,ATHERENERG.NS,BUY,2028,960.5999755859376,1948096.7504882815,1948.0967504882815
